season,race,driver,position,win,dnf
2024,Abu Dhabi Grand Prix,ALB,11,0,1
2024,Abu Dhabi Grand Prix,ALO,9,0,1
2024,Abu Dhabi Grand Prix,BOT,18,0,1
2024,Abu Dhabi Grand Prix,COL,19,0,1
2024,Abu Dhabi Grand Prix,DOO,15,0,1
2024,Abu Dhabi Grand Prix,GAS,7,0,1
2024,Abu Dhabi Grand Prix,HAM,4,0,1
2024,Abu Dhabi Grand Prix,HUL,8,0,1
2024,Abu Dhabi Grand Prix,LAW,17,0,1
2024,Abu Dhabi Grand Prix,LEC,3,0,1
2024,Abu Dhabi Grand Prix,MAG,16,0,1
2024,Abu Dhabi Grand Prix,NOR,1,1,1
2024,Abu Dhabi Grand Prix,PIA,10,0,1
2024,Abu Dhabi Grand Prix,RUS,5,0,1
2024,Abu Dhabi Grand Prix,SAI,2,0,1
2024,Abu Dhabi Grand Prix,STR,12,0,1
2024,Abu Dhabi Grand Prix,TSU,13,0,1
2024,Abu Dhabi Grand Prix,VER,6,0,1
2024,Abu Dhabi Grand Prix,ZHO,14,0,1
2024,Australian Grand Prix,ALB,11,0,1
2024,Australian Grand Prix,ALO,6,0,1
2024,Australian Grand Prix,BOT,14,0,1
2024,Australian Grand Prix,GAS,13,0,1
2024,Australian Grand Prix,HAM,11,0,1
2024,Australian Grand Prix,HUL,9,0,1
2024,Australian Grand Prix,LEC,2,0,1
2024,Australian Grand Prix,MAG,10,0,1
2024,Australian Grand Prix,NOR,3,0,1
2024,Australian Grand Prix,OCO,16,0,1
2024,Australian Grand Prix,PER,5,0,1
2024,Australian Grand Prix,PIA,4,0,1
2024,Australian Grand Prix,RIC,12,0,1
2024,Australian Grand Prix,RUS,7,0,1
2024,Australian Grand Prix,SAI,1,1,1
2024,Australian Grand Prix,STR,7,0,1
2024,Australian Grand Prix,TSU,8,0,1
2024,Australian Grand Prix,VER,19,0,0
2024,Australian Grand Prix,ZHO,15,0,1
2024,Austrian Grand Prix,ALB,14,0,1
2024,Austrian Grand Prix,ALO,18,0,1
